episode,return,success,collisions,steps
47,-16.014907317757576,0,0,200
46,-15.323341130614256,0,0,200
48,-15.997571718096705,0,0,200
47,-16.014907317757576,0,0,200
49,-15.493188580274552,0,0,200
48,-15.997571718096705,0,0,200
50,-13.822664086949056,0,0,200
49,-15.493188580274552,0,0,200
50,-13.822664086949056,0,0,200
51,-12.269028134047982,0,0,200
52,-12.570446504056445,0,0,200
51,-12.269028134047982,0,0,200
53,-15.268485456109026,0,0,200
52,-12.570446504056445,0,0,200
54,-11.348901129290466,0,0,200
53,-15.268485456109026,0,0,200
55,-15.474844371676419,0,0,200
54,-11.348901129290466,0,0,200
56,-12.966961858198028,0,0,200
55,-15.474844371676419,0,0,200
57,-15.628070985674828,0,0,200
56,-12.966961858198028,0,0,200
58,-12.243536176867774,0,0,200
57,-15.628070985674828,0,0,200
59,-13.903474078476405,0,0,200
58,-12.243536176867774,0,0,200
60,-13.240801442842924,0,0,200
59,-13.903474078476405,0,0,200
60,-13.240801442842924,0,0,200
61,-16.060024332404108,0,0,200
62,-14.40189023293553,0,0,200
61,-16.060024332404108,0,0,200
63,-15.171273266673063,0,0,200
62,-14.40189023293553,0,0,200
64,-14.442346554771046,0,0,200
63,-15.171273266673063,0,0,200
65,-14.487056805342416,0,0,200
64,-14.442346554771046,0,0,200
66,-15.317129176259016,0,0,200
65,-14.487056805342416,0,0,200
67,-15.440975325703597,0,0,200
66,-15.317129176259016,0,0,200
68,-14.989622306972716,0,0,200
67,-15.440975325703597,0,0,200
69,-15.102121124565578,0,0,200
68,-14.989622306972716,0,0,200
70,-14.86317935898898,0,0,200
69,-15.102121124565578,0,0,200
70,-14.86317935898898,0,0,200
71,-14.23548650607465,0,0,200
72,-12.402188809365033,0,0,200
71,-14.23548650607465,0,0,200
73,-14.415962682813383,0,0,200
72,-12.402188809365033,0,0,200
74,-12.930840907022347,0,0,200
73,-14.415962682813383,0,0,200
75,-12.842299870923153,0,0,200
74,-12.930840907022347,0,0,200
76,-15.059365555793024,0,0,200
75,-12.842299870923153,0,0,200
77,-15.433637409806224,0,0,200
76,-15.059365555793024,0,0,200
78,-15.835729875564546,0,0,200
77,-15.433637409806224,0,0,200
79,-16.009545257091496,0,0,200
78,-15.835729875564546,0,0,200
80,-13.950064165294162,0,0,200
79,-16.009545257091496,0,0,200
80,-13.950064165294162,0,0,200
81,-12.998793291635806,0,0,200
82,-12.848415430691082,0,0,200
83,-13.786035102754816,0,0,200
81,-12.998793291635806,0,0,200
84,-13.208183990195382,0,0,200
82,-12.848415430691082,0,0,200
85,-14.944404491186116,0,0,200
83,-13.786035102754816,0,0,200
86,-12.267526668459178,0,0,200
84,-13.208183990195382,0,0,200
87,-15.08453233554957,0,0,200
85,-14.944404491186116,0,0,200
88,-15.606566252708408,0,0,200
86,-12.267526668459178,0,0,200
89,-14.225648138821105,0,0,200
87,-15.08453233554957,0,0,200
90,-14.467430094778518,0,0,200
88,-15.606566252708408,0,0,200
91,-14.804561219513396,0,0,200
89,-14.225648138821105,0,0,200
90,-14.467430094778518,0,0,200
91,-14.804561219513396,0,0,200
92,-15.215645598769163,0,0,200
93,-14.184646040350179,0,0,200
94,-14.605253180265402,0,0,200
92,-15.215645598769163,0,0,200
95,-15.408384382128688,0,0,200
93,-14.184646040350179,0,0,200
96,-14.237074480168504,0,0,200
94,-14.605253180265402,0,0,200
97,-14.60548557579515,0,0,200
95,-15.408384382128688,0,0,200
98,-15.509660416245435,0,0,200
96,-14.237074480168504,0,0,200
99,-15.075827171802493,0,0,200
97,-14.60548557579515,0,0,200
100,-14.353575114309763,0,0,200
98,-15.509660416245435,0,0,200
101,-14.769894008487437,0,0,200
99,-15.075827171802493,0,0,200
100,-14.353575114309763,0,0,200
101,-14.769894008487437,0,0,200
102,-15.595089479684805,0,0,200
103,-15.61771208584306,0,0,200
104,-15.303943806290606,0,0,200
102,-15.595089479684805,0,0,200
105,-15.266805701851819,0,0,200
103,-15.61771208584306,0,0,200
106,-15.305680900216075,0,0,200
104,-15.303943806290606,0,0,200
107,-15.305893858671162,0,0,200
105,-15.266805701851819,0,0,200
108,-15.817562844753237,0,0,200
106,-15.305680900216075,0,0,200
109,-15.205786156058286,0,0,200
107,-15.305893858671162,0,0,200
110,-15.532506751418087,0,0,200
108,-15.817562844753237,0,0,200
111,-15.44438804328439,0,0,200
109,-15.205786156058286,0,0,200
110,-15.532506751418087,0,0,200
111,-15.44438804328439,0,0,200
112,-15.663970085382436,0,0,200
113,-15.342569308876966,0,0,200
114,-15.67555153012273,0,0,200
115,-15.75005750000474,0,0,200
112,-15.663970085382436,0,0,200
116,-15.27091900646684,0,0,200
113,-15.342569308876966,0,0,200
117,-15.220119988322232,0,0,200
114,-15.67555153012273,0,0,200
118,-15.609631761312457,0,0,200
115,-15.75005750000474,0,0,200
119,-15.324840834140751,0,0,200
116,-15.27091900646684,0,0,200
120,-15.704508116245243,0,0,200
117,-15.220119988322232,0,0,200
121,-15.508058219552016,0,0,200
118,-15.609631761312457,0,0,200
119,-15.324840834140751,0,0,200
120,-15.704508116245243,0,0,200
121,-15.508058219552016,0,0,200
122,-15.403604469597315,0,0,200
123,-14.98714406663549,0,0,200
124,-14.489649556726196,0,0,200
125,-15.649138824790693,0,0,200
122,-15.403604469597315,0,0,200
126,-15.436231311559652,0,0,200
123,-14.98714406663549,0,0,200
127,-13.691187462173392,0,0,200
124,-14.489649556726196,0,0,200
128,-15.226390545964216,0,0,200
125,-15.649138824790693,0,0,200
129,-15.611395586431005,0,0,200
126,-15.436231311559652,0,0,200
130,-15.539081486090987,0,0,200
127,-13.691187462173392,0,0,200
131,-15.165662687420824,0,0,200
128,-15.226390545964216,0,0,200
132,-13.394894586652509,0,0,200
129,-15.611395586431005,0,0,200
130,-15.539081486090987,0,0,200
131,-15.165662687420824,0,0,200
132,-13.394894586652509,0,0,200
133,-14.325899256914834,0,0,200
134,-15.55284374594686,0,0,200
135,-15.263570919036841,0,0,200
136,-15.54155327469108,0,0,200
133,-14.325899256914834,0,0,200
137,-15.88307903349397,0,0,200
134,-15.55284374594686,0,0,200
138,-15.865352811813327,0,0,200
135,-15.263570919036841,0,0,200
139,-15.74954055488107,0,0,200
136,-15.54155327469108,0,0,200
140,-15.853293755054445,0,0,200
137,-15.88307903349397,0,0,200
141,-15.46682832479474,0,0,200
138,-15.865352811813327,0,0,200
142,-16.154904490113232,0,0,200
139,-15.74954055488107,0,0,200
140,-15.853293755054445,0,0,200
141,-15.46682832479474,0,0,200
142,-16.154904490113232,0,0,200
143,-14.894150681197619,0,0,200
144,-15.769161441326116,0,0,200
145,-15.974203022718399,0,0,200
146,-15.380517474710917,0,0,200
143,-14.894150681197619,0,0,200
147,-16.01943910658357,0,0,200
144,-15.769161441326116,0,0,200
148,-15.57844716250894,0,0,200
145,-15.974203022718399,0,0,200
149,-15.56777993232009,0,0,200
146,-15.380517474710917,0,0,200
150,-15.412942703962301,0,0,200
147,-16.01943910658357,0,0,200
151,-15.915695320963833,0,0,200
148,-15.57844716250894,0,0,200
152,-15.904035561680764,0,0,200
149,-15.56777993232009,0,0,200
150,-15.412942703962301,0,0,200
151,-15.915695320963833,0,0,200
152,-15.904035561680764,0,0,200
153,-15.690922864675498,0,0,200
154,-15.27992432206867,0,0,200
155,-14.103893996924146,0,0,200
156,-14.974459125250554,0,0,200
153,-15.690922864675498,0,0,200
157,-14.274586097672563,0,0,200
154,-15.27992432206867,0,0,200
158,-14.67967291265724,0,0,200
155,-14.103893996924146,0,0,200
159,-15.398287453651399,0,0,200
156,-14.974459125250554,0,0,200
160,-14.339110549688323,0,0,200
157,-14.274586097672563,0,0,200
161,-14.665353427603822,0,0,200
158,-14.67967291265724,0,0,200
162,-14.70857151444999,0,0,200
159,-15.398287453651399,0,0,200
160,-14.339110549688323,0,0,200
161,-14.665353427603822,0,0,200
162,-14.70857151444999,0,0,200
163,-15.786396213769887,0,0,200
164,-15.966138910651177,0,0,200
